Restaurant	Note	Prix	Cuisine	Service	Avis	URL
L'Entrecôte	5.0	NE	Positive	Positive	Les frites sont inégalables et la viande fond Dans la bouche ! Le personnel est agréable et à l’écoute	https://www.tripadvisor.fr/Restaurant_Review-g187265-d2075406-Reviews-or150-L_Entrecote-Lyon_Rhone_Auvergne_Rhone_Alpes.html
Les 3 Brasseurs - Echirolles	5.0	NE	Positive	Positive	J en ai mare car je ne trouve pas de critiques péjoratives! C est une valeur sûre. Toujours bon gustativement! Mais differance aux autres restaurants, le service est impeccable! J adore car j ai toujours l impression d être reçu comme quelqu un d important. C est très rare d avoir des serveuses ou serveurs qui nous reçoivent comme pratiquement chez eux. Ça m énerve car normalement je trouve toujours une critique négative mais la je suis piègé... Un remerciement exceptionnel à la serveuse Anita qui est nouvelle et emploie qui accentue à elle toute seule la réputation professionnelle de ce restaurant car elle dépasse son travail en servant les clients avec le coeur avec un sourire naturel ! C est très rare et ceux qui me lisent savent que je suis sans pitié aucunes. Mercier aux trous brasseurs Echirolles. Attention, je ne me porte pas garant pour les autres de la chaîne que je ne connais pas. J espère que la direction regarder mon message pour cette jeune serveuse qui mérite largement ça place. Critique négative: la prochaine fois, j aimerais au moins un café offert... ;-)	https://www.tripadvisor.fr/ShowUserReviews-g1051968-d4742729-r590051451-Les_3_brasseurs-Echirolles_Isere_Auvergne_Rhone_Alpes.html
Les Terrasses Poulard - Le Mont-Saint-Michel	2.0	NE	Négative	Neutre	Très longue attente mais personnel agréable et sympathique.  Velouté de légume et tarte aux pommes industriels probablement, frites dignes du mac do et omelette sans plus... Cuisine assez grasse	https://www.tripadvisor.fr/ShowUserReviews-g196646-d3506371-r656918110-Les_Terrasses_Poulard-Mont_Saint_Michel_Manche_Basse_Normandie_Normandy.html
Les Terrasses Poulard - Le Mont-Saint-Michel	2.0	NE	Positive	Négative	Très jolie vue sur la baie  Service très lent les 2 tables qui nous entouraient ont eu entrée plat dessert et addition et nous toujours l’entrée et fini depuis longtemps  Du coup après le plat qui était très bon nous sommes partis sans le dessert car 1h30 entre l’entrée et le plat ce n’est pas possible  Repas très bon surtout l’omelette	https://www.tripadvisor.fr/ShowUserReviews-g196646-d3506371-r584276388-Les_Terrasses_Poulard-Mont_Saint_Michel_Manche_Basse_Normandie_Normandy.html
Les Terrasses Poulard - Le Mont-Saint-Michel	1.0	Négative	Négative	NE	c'est le meme restaurant que les terrasses de la baie donc la meme arnaque aux touristes la meme cantine à des prix prohibitifs	https://www.tripadvisor.fr/ShowUserReviews-g196646-d3506371-r657100988-Les_Terrasses_Poulard-Mont_Saint_Michel_Manche_Basse_Normandie_Normandy.html
La Fondue - Grenoble	5.0	NE	Positive	Positive	Nous avons passé un très bon moment à la Fondue: dans la tranquilité de la 2eme salle nous avons apprécié le service très sympathique, et les plats de terroir super copieux et goûteux. Une très bonne adresse quand on recherche la bonne cuisine de nos régions. Je recommande chaudement.	https://www.tripadvisor.fr/ShowUserReviews-g187264-d718663-r815991552-La_Fondue-Grenoble_Isere_Auvergne_Rhone_Alpes.html
La Ferme à Dédé - Grenoble	5.0	NE	Positive	NE	Un week-end à Grenoble ne pouvait pas se faire sans aller déguster un plat local, au menu gratin de ravioles aux morilles, un délice avec une crème spéculoos comme note sucrée pour le dessert. Je recommande 😁	https://www.tripadvisor.fr/ShowUserReviews-g187264-d718658-r827837583-La_Ferme_a_Dede_Grenoble_Centre-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Shunbun - Grenoble	4.0	NE	Positive	NE	Je suis allé dîner avec ma famille le vendredi 1er Octobre. Nous avons commandé deux des menus proposés et des sushis sur le menu, tout a été très bien préparé. Très bonne bière japonaise	https://www.tripadvisor.fr/ShowUserReviews-g187264-d5443596-r425652924-Shunbun-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Shunbun - Grenoble	5.0	Positive	Positive	Positive	Plusieurs formules sont proposées pour le midi avec deux accompagnement à choix et à prix très raisonnable. Les sushis étaient très bons. Il y a également un grand choix dans la carte. Le service était rapide et efficace. Superbe adresse si vous passez par Grenoble.	https://www.tripadvisor.fr/ShowUserReviews-g187264-d5443596-r463972465-Shunbun-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Le Bombay	5.0	NE	Positive	Positive	Très bon accueil, accepté les chiens guide d’aveugle, se préoccupe du bien être des personnes! Poulet Tikka massala délicieux ! Très généreux en lassi (presque 1/2l de boisson)! Rien à dire c’était succulent!	https://www.tripadvisor.fr/ShowUserReviews-g187264-d795433-r556161071-Le_Bombay-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Les 3 Brasseurs - Echirolles	3.0	NE	Neutre	Neutre	La deco est très bien faite, bonne ambiance. Arrivez tôt sinon la fil d'attente est sans fin ! Bière maison de bonne qualité , les plats sont conformes à  ce type d'établissement, bon mais rien d'exceptionnel. Les enfants sont bien accueillis. Après, j'ai trouvé l'endroit très bruyant, le service un peu trop rapide... c'est un peu à  la chaîne. à‰viter ce type d'établissement pour un repas en amoureux.	https://www.tripadvisor.fr/ShowUserReviews-g1051968-d4742729-r568501405-Les_3_brasseurs-Echirolles_Isere_Auvergne_Rhone_Alpes.html
La veyrie - Bernin	4.0	NE	NE	Positive	Un beau cadre , belle terrasse ,accueil sympathique on peut se relaxer et profiter sans se soucier de rien. Le service est prévenant , fluide, agreable avec le sourire derriere les masques.   Un menu restreint, produits frais , très bon steak tartare , poisson cuisiné avec quelques épices juste comme il faut. Du bon vin quoi de plus !   Une belle soirée,  à refaire  !	https://www.tripadvisor.fr/ShowUserReviews-g858498-d8263818-r771474028-La_Veyrie-Bernin_Isere_Auvergne_Rhone_Alpes.html
Le Gurtlerhoft - Strasbourg	5.0	NE	Positive	Positive	Magnifique restaurant , cave voûtée avec juste ce qu'il faut en éclairage  Très bon accueil, personnel très agréable  Repas délicieux	https://www.tripadvisor.fr/Restaurant_Review-g187075-d794843-Reviews-Le_Gurtlerhoft-Strasbourg_Bas_Rhin_Grand_Est.html
Le Gratin Dauphinois - Grenoble	4.0	NE	Positive	Positive	Deux repas au Gratin Dauphinois cette semaine Globalement positif Très bon accueil Les vins sont bien choisis Je regrette qu'entre les ravioles de lundi et celles de mercredi il y ait eu autant de différence de préparation Quoique il en soit nous y retournerons	https://www.tripadvisor.fr/ShowUserReviews-g187264-d9856054-r584161996-Le_Gratin_Dauphinois-Grenoble_Isere_Auvergne_Rhone_Alpes.html
La Belle Idée - Grenoble	5.0	Positive	Positive	Positive	Accueil formidable, espace cosy, pas trop bruyant et repas digne d'un gastronomique pour. Prix très raisonnable. Seul petit couac, on nous a servi les entrées avant l'apéro.	https://www.tripadvisor.fr/ShowUserReviews-g187264-d2222187-r976428543-La_Belle_Idee-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Une Semaine sur Deux - Grenoble	4.0	Positive	Positive	Positive	Une des meilleures adresse de Grenoble, vous pouvez y aller les yeux fermés. Le service est top, les plats sont goûteux et l’ambiance est familiale. Petit bémol sur les desserts qui ne sont pas aussi bons que les plats. L’addition est très correcte par rapport à la qualité du service.	https://www.tripadvisor.fr/ShowUserReviews-g187264-d3580943-r771687351-Une_Semaine_sur_Deux-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Bistrot André - Grenoble	5.0	NE	Positive	Positive	Passant une nuit dans la très belle Maison Pic, ma femme et moi avons eu le grand plaisir de dîner au Bistro André. Le cadre est très agréable, et le personnel est aussi aimable que très professionnel. Chacun des plats a été un pur régal ! A recommander, sans la moindre hésitation.	https://www.tripadvisor.fr/ShowUserReviews-g187272-d10312929-r972390251-Bistro_Andre-Valence_Drome_Auvergne_Rhone_Alpes.html
Les Terrasses de Lyon - Lyon	5.0	NE	Positive	Positive	Un sans-faute pour ce déjeuner entre amis.Pourtant volontiers carnivores, nous avons choisi cette adresse pour faire l'expérience de son Menu Maraicher : ce fut la meilleure idée de la semaine, tant nous avons été ravis par les magnifiques plats autour des légumes exclusivement. Généreux, d'une haute technicité et du coup, simplement délicieux.A recommander sans aucune hésitation à ceux qui pensent qu'on ne peut pas faire de bon repas sans viande.Enfin, du petit jardinet à la terrasse, le cadre est superbe, et l'accueil, de très bon ton, sait mettre à l'aise. Un sans-faute.	https://www.tripadvisor.fr/ShowUserReviews-g187265-d3727154-r681446989-Les_Terrasses_de_Lyon-Lyon_Rhone_Auvergne_Rhone_Alpes.html
Bistrot André - Grenoble	5.0	NE	Positive	NE	La meilleure table sur le chemin du sud pour un déjeuner hors normes.2 heures de bonheur avec des saveurs enchanteresses.	https://www.tripadvisor.fr/ShowUserReviews-g187272-d10312929-r969554868-Bistro_Andre-Valence_Drome_Auvergne_Rhone_Alpes.html
Les Jardins de Sainte-Cécile - Grenoble	1.0	Négative	Neutre	Négative	11 couverts a tables ; 1 personnes a payer 2 fois son menu suite a une erreur de leur part est n'a pas etais remboursé. 1 personnes a etais servi au moins 10-15min aprer tout le monde.. Cuisine gastro ok, mais nourriture tiède.. Dommage	https://www.tripadvisor.fr/ShowUserReviews-g187264-d2284818-r923490211-Les_Jardins_de_Sainte_Cecile-Grenoble_Isere_Auvergne_Rhone_Alpes.html
"""""""Chateau de la commanderie - Grenoble"""""""	4.0	NE	Neutre	Neutre	"""""""Le cadre est vraiment sympa, le service est un peu guinder mais ça fait le charme. La cuisine est bonne sans être exceptionnelle. Je conseille pour un repas en amoureux c’est parfait."""""""	"""""""https://www.tripadvisor.fr/ShowUserReviews-g672838-d1025014-r749687475-Chateau_de_la_Commanderie-Eybens_Grenoble_Isere_Auvergne_Rhone_Alpes.html"""""""
Le Marrakech - Annecy	2.0	NE	Négative	Négative	Franchement c'est pas terrible couscous réalisé au rabais aucune saveur pas de générosité dans le plat, aucun parfum, l'accueil est au niveau du coucous bref une grande déception !	https://www.tripadvisor.fr/Restaurant_Review-g187260-d1992149-Reviews-or210-Le_Marrakech-Annecy_Haute_Savoie_Auvergne_Rhone_Alpes.html
La Ferme à Dédé - Grenoble	5.0	NE	Positive	Positive	Une bonne table avec des produits locaux de qualité ! Andouillette raclette gratin dauphinois ! La qualité et la quantité ! Un service aux petits oignons ! Par contre pas de Resa possible donc venir à l'ouverture !	https://www.tripadvisor.fr/ShowUserReviews-g187264-d718658-r876754003-La_Ferme_a_Dede_Grenoble_Centre-Grenoble_Isere_Auvergne_Rhone_Alpes.html
L'Entrecôte	5.0	NE	Positive	NE	Excellent chaîne de viande rouge. La sauce est une marque déposée et on comprend pourquoi, une tuerie !! Petit plus ou gros plus en fonction de l’appétit les frittes sont à volontés. Bien réserver ou venir au complet sinon trouver une place va être difficile mais je recommande.	https://www.tripadvisor.fr/Restaurant_Review-g187265-d2075406-Reviews-or45-L_Entrecote-Lyon_Rhone_Auvergne_Rhone_Alpes.html
La Belle Idée - Grenoble	1.0	NE	NE	Négative	J'avais mangé plusieurs fois dans ce restaurant et n'avais jamais été déçue. J'avais réservé pour ce midi, nous avons eu le malheur d'arriver à 11h54. Le Monsieur qui nous as reçu s'est montré extrêmement froid, nous disant qu'ils n'étaient pas encore ouvert qu'ils sont une petite équipe,  qu'ils n'avaient pas fini la mise en place et nous a mis dehors , fermant la porte à double tour et nous demandant de revenir 10 minutes plus tard :(  Nous sommes donc tout simplement allé déjeuner ailleurs. Ne doutant de rien ils nous ont appelé une demi-heure plus tard, nous demandant où nous étions car nous n'étions toujours pas revenus... J'ai préféré ne pas répondre,  trop contrariée par ce manque de professionnalisme	https://www.tripadvisor.fr/ShowUserReviews-g187264-d2222187-r629719136-La_Belle_Idee-Grenoble_Isere_Auvergne_Rhone_Alpes.html
La veyrie - Bernin	4.0	Négative	Positive	Positive	Cadre superbe. Ancien château aux airs de vieux manoir. Terrasse sympa avec une vue époustouflante sur le massif de belledonne. Service aux petits soins. En revanche le rapport qualité prix dans l’assiette ne correspond pas au standing affiché du lieu. C’est cher pour une offre culinaire banale. Quand on y emmène des clients on est limite gêné. Après 4/5 pour le cadre sinon on se serait arrêté à 3/5.	https://www.tripadvisor.fr/ShowUserReviews-g858498-d8263818-r758615665-La_Veyrie-Bernin_Isere_Auvergne_Rhone_Alpes.html
L'Entrecôte	5.0	NE	Positive	NE	Me déplaçant beaucoup à titre professionnel , j' en suis presque à fixer mes rdv en fonction des villes où sont implantés ces restaurants ' l' Entrecôte ' ! Je les connais tous et suis un client inconditionnel depuis de nombreuses années . J' envisage de kidnapper un de leurs chefs pour qu' il me dévoile le secret de leur délicieuse sauce .	https://www.tripadvisor.fr/Restaurant_Review-g187265-d2075406-Reviews-or90-L_Entrecote-Lyon_Rhone_Auvergne_Rhone_Alpes.html
Une Semaine sur Deux - Grenoble	3.0	Négative	Neutre	Neutre	J'y suis déjà allée le soir. Le poulpe est à tomber. Seconde visite un midi et là grosse déception. 20€ entrée plat et dessert... et on avait faim en sortant. L'entrée était bonne, le plat très peu copieux (1/4 de magret de canard avec 3 demi-pommes de terre grenaille). Quant au dessert, pas évident d'appeler ça une tarte au citron. Les portions sont ridicules. Le serveur et la serveuse n'annoncent pas les mêmes ingrédients dans le cocktail (est-ce du sirop d'érable ou du miel?). Bref j'ai mis 3 car je garde un bon souvenir du premier repas le soir.Les notes sont sur-notėes pour le midi.	https://www.tripadvisor.fr/ShowUserReviews-g187264-d3580943-r671114897-Une_Semaine_sur_Deux-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Brasserie Chavant Grenoble	4.0	NE	Positive	Positive	Cette brasserie intime et demi gastronomique nous ravit à chaque visite : service vif et jeune, cuisine naturelle et de bonne facture, tout y est dans ce décor moderne mais chaleureux centre ville de grenoble	https://www.tripadvisor.fr/Restaurant_Review-g187264-d3237883-Reviews-or180-Brasserie_Chavant_Grenoble-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Le Chalet Restaurant - Annecy	5.0	NE	Positive	Positive	L’endroit parfait pour découvrir la cuisine traditionnelle. Avec des fromages affinés par un maître fromager. Vraiment un régal! En plus c’est très copieux et l’équipe est très accueillante et sympathique. De quoi passer un très bon moment. D’ailleurs nous y avons mangé les deux soirs de notre séjour et Nous reviendrons très certainement !	https://www.tripadvisor.fr/ShowUserReviews-g187260-d5799201-r923475053-Le_Chalet_Restaurant-Annecy_Haute_Savoie_Auvergne_Rhone_Alpes.html
Le Gratin Dauphinois - Grenoble	4.0	Positive	Positive	Positive	Très bon accueil,  la cuisine est généreuse    et goutu simple mais bien cuisiné. Je reviendrai des que possible	https://www.tripadvisor.fr/ShowUserReviews-g187264-d9856054-r622457258-Le_Gratin_Dauphinois-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Brasserie Georges - Lyon	5.0	NE	Positive	Positive	Super ambiance jazz le service est  excelent et la nouriture edt délicieuse mention spéciale a florent serveur génial	https://www.tripadvisor.fr/Restaurant_Review-g187265-d695217-Reviews-or195-Brasserie_Georges-Lyon_Rhone_Auvergne_Rhone_Alpes.html
L'Entrecôte	2.0	NE	Neutre	Négative	Nous avons reçu une viande avec une cuisson bleue, alors que nous avions demandé saignant… bref, passons. Notre serveuse était vraiment très peu courtoise, elle semblait ne pas avoir envie d’être ici. Nous avons aussi dû attendre la fin de l’entrée avant de revoir, enfjn, une carafe d’eau après avoir demandé à deux reprises. Heureusement que la serveuse qui nous a encaissé a apporté un peu plus de chaleur humaine. Il m’a aussi sembler apercevoir une serveuse derrière le bar, verser le contenu des verres de vin restant, dans une bouteille à l’aide d’un entonnoir. Dommage car viande de bonne qualité.	https://www.tripadvisor.fr/Restaurant_Review-g187265-d2075406-Reviews-or75-L_Entrecote-Lyon_Rhone_Auvergne_Rhone_Alpes.html
Les 3 Brasseurs - Echirolles	4.0	NE	Positive	Positive	Après plusieurs repas, toujours aussi bonne cuisine et les serveurs très sympa 👍😊 lieu convivial entre amis, en famille comme en couple !	https://www.tripadvisor.fr/ShowUserReviews-g1051968-d4742729-r723943661-Les_3_brasseurs-Echirolles_Isere_Auvergne_Rhone_Alpes.html
Bistrot André - Grenoble	5.0	NE	Positive	NE	Très belle adresse - cadre apaisant - cuisine  rigoureuse et raffinée - Flan feuilleté excellent -Je recommande  vivement +++	https://www.tripadvisor.fr/ShowUserReviews-g187272-d10312929-r964511846-Bistro_Andre-Valence_Drome_Auvergne_Rhone_Alpes.html
Le Gurtlerhoft - Strasbourg	5.0	NE	NE	NE	Le cadre + l'accueil + le service + la qualité des mets = ambiance parfaite pour passer un excellent moment.	https://www.tripadvisor.fr/Restaurant_Review-g187075-d794843-Reviews-or150-Le_Gurtlerhoft-Strasbourg_Bas_Rhin_Grand_Est.html
Bistrot André - Grenoble	4.0	NE	Négative	Négative	Nous faisons une halte chaque année chez André. Mon mari et ma fille se sont régalés, en revanche mon plat (thon avec tomate farcie aux olives) était vraiment décevant : très linéaire, le thon avait peu de goût, la tomate farcie sans subtilité….pour un prix à 38. Je n’y ai pas retrouvé le petit truc en plus qui fait l’effet waouh.  Beaucoup d’oublis pendant le service: obligés à trois reprises de rappeler ce que nous avions demandé.  Pour la première fois, une expérience vraiment mitigée. On s’interroge sur notre venue l’an prochain sur la route des vacances.	https://www.tripadvisor.fr/ShowUserReviews-g187272-d10312929-r963978881-Bistro_Andre-Valence_Drome_Auvergne_Rhone_Alpes.html
Les Jardins de Sainte-Cécile - Grenoble	5.0	NE	Positive	Positive	Restaurant bien décoré, le cadre est idéal, en plein coeur de Grenoble dans une ancienne chapelle, la cuisine est excellente et le personnel très chaleureux ! Très bonne adresse	https://www.tripadvisor.fr/ShowUserReviews-g187264-d2284818-r354152542-Les_Jardins_de_Sainte_Cecile-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Brasserie Chavant Grenoble	5.0	NE	Positive	Positive	Plats raffinés et délicieux ! Bonne adresse. Restaurant chic et sympathique. Service de qualité. Je conseille personnellement le plateau apéritif.	https://www.tripadvisor.fr/Restaurant_Review-g187264-d3237883-Reviews-or225-Brasserie_Chavant_Grenoble-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Le Marrakech - Annecy	3.0	NE	Neutre	Neutre	Très beau restaurant, bon accueil. Une fois installés nous avons attendu un bon moment avant la prise de commande. Nous avons commandé 3 tajines et un couscous. Le tajine au poulet olives et citron était très décevant. Il n’avait pas le goût des olives et du citron. D’ailleurs où sont les citrons confits ? À la place nous avons eu un morceau d’écorce de citron normal. Pas de goût et des légumes verts qui n’ont rien à faire là. Ayant l’habitude de manger des plats typiques marocains j’ai plutôt eu l’impression de manger tunisien. Le couscous était bon.	https://www.tripadvisor.fr/Restaurant_Review-g187260-d1992149-Reviews-or90-Le_Marrakech-Annecy_Haute_Savoie_Auvergne_Rhone_Alpes.html
Chalet la Pricaz - Montmin	5.0	NE	Positive	Positive	Tout simplement exceptionnel !!!!  Une vue à couper le souffle, de la nourriture a tomber par terre et un service parfait ! Des serveurs géniaux je n’ai rien à dire une expérience incroyable à refaire tous les jours s’il le faut !  Merci pour ce moment	https://www.tripadvisor.fr/ShowUserReviews-g3528948-d3291536-r766833347-Chalet_la_Pricaz-Montmin_Haute_Savoie_Auvergne_Rhone_Alpes.html
Le Bombay	5.0	NE	Positive	Positive	Nous avions réservé pour 6 personnes mais nous sommes finalement venus à 10, un dimanche, et bien qu’il y avait du monde, le restaurant a fait son possible pour nous placer tous les dix. Nous avons tous été satisfait, chaque plats ont été apprécié, les portions sont largement suffisante, certains n’ont pas réussi à tout manger. Idem pour les boissons. Les serveurs étaient très sympathique et on sent le professionnalisme de chacun dans cet établissement. Il est certain que je recommanderai ce lieu et que j’y retournerai lors d’un prochain séjour sur Grenoble.	https://www.tripadvisor.fr/ShowUserReviews-g187264-d795433-r572115492-Le_Bombay-Grenoble_Isere_Auvergne_Rhone_Alpes.html
La Belle Idée - Grenoble	5.0	Positive	Positive	Positive	Après plusieurs tentatives infructueuses pour dîner à La Petite Idée, j’y suis parvenue (de justesse !) le mois dernier. Les plats proposés sont faits maison et frais car en fonction des produits du jour. La carte, plutôt variée, change donc régulièrement. Les tarifs sont corrects et l’équipe, très sympathique. Ne changez rien !	https://www.tripadvisor.fr/ShowUserReviews-g187264-d2222187-r823093476-La_Belle_Idee-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Chalet la Pricaz - Montmin	2.0	NE	NE	Négative	Juste un mot Le cadre est fantastique mais si les serveurs sont souriants il faudrait dire à la serveuse qu'elle a choisi un métier ou l'attention, le sourire (même derrière le masque), est primordial. J'ai été choquée de son attitude vis à  vis de clients touristes enthousiastes devant la vue lui demandant des explications.  Manque de respect	https://www.tripadvisor.fr/ShowUserReviews-g3528948-d3291536-r812202659-Chalet_la_Pricaz-Montmin_Haute_Savoie_Auvergne_Rhone_Alpes.html
Shunbun - Grenoble	4.0	Négative	Positive	NE	De très bons sushis ...Par contre je trouve les prix un peu élevés qd on prend à la carte...Et on regrette un manque d'explication écrite et de détails sur la carte , on ne sait pas à quoi correspondent les plats ou spécialités ...	https://www.tripadvisor.fr/ShowUserReviews-g187264-d5443596-r459248393-Shunbun-Grenoble_Isere_Auvergne_Rhone_Alpes.html
"""""""Terre Adélice - Lyon"""""""	4.0	Positive	Positive	NE	"""""""Nous avons seulement goûté les gaufres . Elles sont excellentes et très légères. 6 euros les deux gaufres servies à l'assiette. Très grand choix de glaces."""""""	"""""""https://www.tripadvisor.fr/ShowUserReviews-g187265-d2443980-r719142345-Terre_Adelice_Lyon-Lyon_Rhone_Auvergne_Rhone_Alpes.html"""""""
Shunbun - Grenoble	5.0	NE	Positive	Positive	On s'est tout simplement régalé !!!! On était deux , on a prit une formule sushi chacun qu'on a partagé .  Service rapide et efficace !!!! On avait téléphoné à 21h15 un mercredi soir et on a bien accepté de nous recevoir pour 21h30 . Un plus !!!!  Accompagné d'un super Morgon . MERCI .  Je recommande sans hésitation .	https://www.tripadvisor.fr/ShowUserReviews-g187264-d5443596-r542713019-Shunbun-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Brasserie Chavant Grenoble	3.0	Négative	Négative	Positive	- ce n est pas une brasserie contrairement à l intitulé  - on se pose sur un pseudo gastro  - entrecôte sans aucun intérêt et surtout sans aucun goût  -purée de ma camarade de table ultra sèche et St Jacques correctes sans plus  -à l étage odeurs incommodantes de cuisine  98€ à deux c est ultra cher pour Grenoble et sur une proposition culinaire ultra quelconque  Ce qui sauve l ensemble , c est juste un service ultra efficace ,attentionné ,souriant et sympa .	https://www.tripadvisor.fr/Restaurant_Review-g187264-d3237883-Reviews-or210-Brasserie_Chavant_Grenoble-Grenoble_Isere_Auvergne_Rhone_Alpes.html
